,furniture_type,name,discounted_price,original_price,product_details
42,Table,HF HARSH FASHION Smart Multi-Purpose Laptop Table with ...,₹439,"₹1,272","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 26.6 cm x 40 cm (1 ft 11 in x 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
43,Table,OANGO wooden Wood Portable Laptop Table,₹499,"₹1,966","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 35 cm x 27 cm x 40 cm (1 ft 1 in x 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
44,Table,Smarts collection Wooden Plant Stand for Balcony Living...,₹474,₹999,"[<li class=""_21Ahn-"">Free-Style</li>, <li class=""_21Ahn-"">Width x Height: 60.96 x 34.29 cm (2 ft x 1 ft 1 in)</li>, <li class=""_21Ahn-"">Suitable For: Living Room, Bedroom Furniture</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
45,Table,"wood city handicrafts wooden round side coffee table ,e...",₹391,₹999,"[<li class=""_21Ahn-"">Round</li>, <li class=""_21Ahn-"">Width x Height: 30 x 36 cm (11 in x 1 ft 2 in)</li>, <li class=""_21Ahn-"">Suitable For: Bedroom Furniture</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
46,Table,Mahabali Laptop stand for children reading and learning...,₹440,₹999,"[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 5 cm x 8 cm x 3 cm (1 in x 3 in x 1 in)</li>, <li class=""_21Ahn-"">Foldable</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
47,Table,Featherlite Nexus Engineered Wood Office Table,"₹5,419","₹7,055","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">Configuration: Straight</li>, <li class=""_21Ahn-"">Height x Width: 75 cm x 105 cm (2 ft 5 in x 3 ft 5 in)</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
48,Table,Crystal Furnitech Sigma Engineered Wood Coffee Table,"₹2,890","₹4,719","[<li class=""_21Ahn-"">Particle Board</li>, <li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">W x H x D: 118 cm x 38 cm x 60 cm (3 ft 10 in x 1 ft 2 in x 1 ft 11 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
49,Table,NGI STORE Multipurpose laptop table Wood Portable Lapto...,₹439,₹550,"[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 2 cm x 27 cm x 40 cm (10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
50,Table,NEUDOT SMASH Engineered Wood Coffee Table,"₹1,999","₹9,000","[<li class=""_21Ahn-"">Particle Board</li>, <li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">W x H x D: 88.9 cm x 48.2 cm x 45.7 cm (2 ft 10 in x 1 ft 6 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
51,Table,Crystal Furnitech GLAZE Engineered Wood Dressing Table,"₹12,190","₹18,040","[<li class=""_21Ahn-"">W x H x D: 68.5 cm x 150 cm x 13.5 cm (2 ft 2 in x 4 ft 11 in x 5 in)</li>, <li class=""_21Ahn-"">Mirror W x H: 300 mm x 1475 mm</li>, <li class=""_21Ahn-"">Finish Type: Matte | Finish Color: Wenge</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
52,Table,Verona LAPTOP TABLE FOLDABLE001 Wood Portable Laptop Ta...,₹430,"₹1,555","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 28 cm x 40 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
53,Table,limraz furniture L 56 Engineered Wood Study Table,"₹1,499","₹2,499","[<li class=""_21Ahn-"">Material: MDF</li>, <li class=""_21Ahn-"">Configuration: Straight</li>, <li class=""_21Ahn-"">Height x Width: 73.6 cm x 91.4 cm (2 ft 4 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
54,Table,Portronics My Buddy D Wood Portable Laptop Table,"₹1,295","₹2,999","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 80 cm x 40 cm (1 ft 11 in x 2 ft 7 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
55,Table,Crystal Furnitech Torian Engineered Wood Dressing Table,"₹9,590","₹13,618","[<li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 181.5 cm x 50 cm (1 ft 11 in x 5 ft 11 in x 1 ft 7 in)</li>, <li class=""_21Ahn-"">Mirror W x H: 300 mm x 1220 mm</li>, <li class=""_21Ahn-"">Finish Type: Polished | Finish Color: wallnut</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
56,Table,KAIZONE Smart Multi-Purpose Laptop Table with Dock Stan...,₹425,"₹1,917","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 9 cm x 12 cm (1 ft 11 in x 3 in x 4 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
57,Table,KIYAN ENTERPRISES Wood Portable Laptop Table,₹499,"₹1,905","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 28 cm x 40 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
58,Table,GOHIL ENTERPRISE Wood Portable Laptop Table,₹425,"₹1,738","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 27 cm x 40 cm (1 ft 11 in x 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
59,Table,Crystal Furnitech Alanta Engineered Wood Computer Desk,"₹5,690","₹13,546","[<li class=""_21Ahn-"">Contemporary &amp; Modern Style Computer Desk</li>, <li class=""_21Ahn-"">Straight Set-up for Study &amp; Home Office with Storage Space</li>, <li class=""_21Ahn-"">W x H x D: 90 cm x 75 cm x 45 cm (2 ft 11 in x 2 ft 5 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">With CPU Compartment</li>, <li class=""_21Ahn-"">Built-in Keyboard Tray</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
60,Table,GLORIEUX ART Beautiful Antique Wooden Fold-able Side Ta...,₹489,₹997,"[<li class=""_21Ahn-"">Free-Style</li>, <li class=""_21Ahn-"">Width x Height: 30 x 33 cm (11 in x 1 ft)</li>, <li class=""_21Ahn-"">Suitable For: Living Room</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions</li>]"
61,Table,AVI CREATION Black flower Metal Portable Laptop Table,₹519,₹999,"[<li class=""_21Ahn-"">Primary Material: Metal</li>, <li class=""_21Ahn-"">W x H x D: 59 cm x 28 cm x 39.3 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
62,Table,Spanglers Engineered Wood Side Table (Finish Color - Br...,"₹1,349","₹3,499","[<li class=""_21Ahn-"">Triangle</li>, <li class=""_21Ahn-"">Width x Height: 18.9 x 48 inch (1 ft 6 in x 4 ft)</li>, <li class=""_21Ahn-"">Suitable For: Bedroom Furniture, Living Room</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions</li>]"
63,Table,Studio Kook Tango Engineered Wood Coffee Table,"₹12,858","₹22,324","[<li class=""_21Ahn-"">MDF</li>, <li class=""_21Ahn-"">Engineered Wood</li>, <li class=""_21Ahn-"">W x H x D: 50 cm x 54.5 cm x 55 cm (1 ft 7 in x 1 ft 9 in x 1 ft 9 in)</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
64,Table,RCM Laptop Stand Wood Portable Laptop Table,₹499,"₹1,499","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 600 mm x 280 mm x 280 mm (1 ft 11 in x 11 in x 11 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
65,Table,Flipkart Perfect Homes Studio Wood Portable Laptop Tabl...,₹849,"₹1,999","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 55 cm x 32 cm x 25 cm (1 ft 9 in x 1 ft x 9 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
66,Table,HF HARSH FASHION Wood Portable Laptop Table,₹429,"₹3,490","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 26.6 cm x 40 cm (1 ft 11 in x 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
67,Table,Nilkamal Recardo Engineered Wood Office Table,"₹14,999","₹17,100","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">Configuration: Straight</li>, <li class=""_21Ahn-"">Height x Width: 76 cm x 120 cm (2 ft 5 in x 3 ft 11 in)</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
68,Table,RADHE SALES Work Tray Table Stand for Writing Wood Port...,₹499,"₹1,499","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 7 cm x 6 cm x 5 cm (2 in x 2 in x 1 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
69,Table,StarAndDaisy Wood Portable Laptop Table,₹809,"₹1,699","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 28 cm x 40 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
70,Table,Flipkart Perfect Homes Studio Wood Portable Laptop Tabl...,"₹1,104","₹2,499","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 28 cm x 40 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
