,furniture_type,name,discounted_price,original_price,product_details
41,Wardrobe,Nilkamal MOZART Engineered Wood 3 Door Wardrobe,"₹17,765","₹33,500","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 120 cm x 190 cm (3 ft 11 in x 6 ft 2 in)</li>, <li class=""_21Ahn-"">Number Of Doors: 3</li>, <li class=""_21Ahn-"">Number Of Shelves: 6</li>, <li class=""_21Ahn-"">Weight: 99</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
42,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 2 Door Wa...,"₹6,890","₹10,499","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 75 cm x 183 cm (2 ft 5 in x 6 ft)</li>, <li class=""_21Ahn-"">Number Of Doors: 2</li>, <li class=""_21Ahn-"">Number Of Shelves: 3</li>, <li class=""_21Ahn-"">Weight: 49</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
43,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 4 Door Wa...,"₹13,590","₹20,999","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 149.86 cm x 182.8 cm (4 ft 11 in x 5 ft 11 in)</li>, <li class=""_21Ahn-"">Number Of Doors: 4</li>, <li class=""_21Ahn-"">Number Of Shelves: 12</li>, <li class=""_21Ahn-"">Weight: 114</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
44,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 3 Door Wa...,"₹10,990","₹15,999","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 112.5 cm x 183 cm (3 ft 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Number Of Doors: 3</li>, <li class=""_21Ahn-"">Number Of Shelves: 7</li>, <li class=""_21Ahn-"">Weight: 80</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
45,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 3 Door Wa...,"₹10,190","₹13,790","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 112.5 cm x 183 cm (3 ft 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Number Of Doors: 3</li>, <li class=""_21Ahn-"">Number Of Shelves: 8</li>, <li class=""_21Ahn-"">Weight: 75</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
46,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 2 Door Wa...,"₹7,290","₹11,499","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 75 cm x 183 cm (2 ft 5 in x 6 ft)</li>, <li class=""_21Ahn-"">Number Of Doors: 2</li>, <li class=""_21Ahn-"">Number Of Shelves: 2</li>, <li class=""_21Ahn-"">Weight: 55</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
47,Wardrobe,Zuari Longline Sliding Door Engineered Wood 2 Door Ward...,"₹23,098","₹41,998","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 170.5 cm x 190.6 cm (5 ft 7 in x 6 ft 3 in)</li>, <li class=""_21Ahn-"">Number Of Doors: 2</li>, <li class=""_21Ahn-"">Number Of Shelves: 8</li>, <li class=""_21Ahn-"">Weight: 128</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
48,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 2 Door Wa...,"₹6,590","₹10,499","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 75 cm x 183 cm (2 ft 5 in x 6 ft)</li>, <li class=""_21Ahn-"">Number Of Doors: 2</li>, <li class=""_21Ahn-"">Number Of Shelves: 3</li>, <li class=""_21Ahn-"">Weight: 48</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
49,Wardrobe,Crystal Furnitech Vienna Engineered Wood Cupboard,"₹6,490","₹9,520","[<li class=""_21Ahn-"">Type: Cupboard</li>, <li class=""_21Ahn-"">Contemporary &amp; Modern Style</li>, <li class=""_21Ahn-"">Suitable For: Storage</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 147.4 cm x 38.1 cm (1 ft 11 in x 4 ft 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
50,Wardrobe,Flipkart Perfect Homes Julian Engineered Wood 3 Door Wa...,"₹10,990","₹15,999","[<li class=""_21Ahn-"">Primary Material: Engineered Wood</li>, <li class=""_21Ahn-"">Width x Height: 112.5 cm x 183 cm (3 ft 8 in x 6 ft)</li>, <li class=""_21Ahn-"">Number Of Doors: 3</li>, <li class=""_21Ahn-"">Number Of Shelves: 7</li>, <li class=""_21Ahn-"">Weight: 80</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
